,time,temperature_heat,heat_demand,COP_hp,electricity_price,electricity_price_raw,outside_temperature
0,2013-01-01 00:00:00,66.290474,2.6814987659454346,3.2876081,103.73084326484019,47.280485336087466,5.8788147
1,2013-01-01 01:00:00,66.2073,2.66839861869812,3.2980208,100.76084326484019,37.27171545382234,5.99942
2,2013-01-01 02:00:00,66.096504,2.6523989041646323,3.3117485,98.20084326484019,28.6446276091763,6.1600647
3,2013-01-01 03:00:00,66.069565,2.6422775983810425,3.315178,89.80084326484018,0.3369956189314859,6.199127
4,2013-01-01 04:00:00,65.960464,2.6293311595916746,3.3289454,91.7108432648402,6.773611940522866,6.3573303
5,2013-01-01 05:00:00,65.958275,2.620585282643636,3.3292418,94.52084326484018,16.243188832497623,6.360504
6,2013-01-01 06:00:00,65.84984,2.609458787100656,3.3429863,89.6308432648402,-0.23589693325204017,6.5177307
7,2013-01-01 07:00:00,65.859604,2.6014984250068665,3.3417056,93.65084326484019,13.311326947793692,6.5035706
8,2013-01-01 08:00:00,65.778114,2.5924548043145075,3.3521852,101.64084326484019,40.23727690041941,6.6217346
9,2013-01-01 09:00:00,65.62489,2.5803934812545775,3.37201,101.8508432648402,40.94496770017554,6.8439026
10,2013-01-01 10:00:00,65.44878,2.5654817711223257,3.3951302,101.94084326484018,41.24826375721387,7.0992737
11,2013-01-01 11:00:00,65.19403,2.5463682214419046,3.4290931,103.95084326484019,48.02187569773673,7.4686584
12,2013-01-01 12:00:00,65.17888,2.517188807328542,3.4311137,110.9108432648402,71.47677077536817,7.490631
13,2013-01-01 13:00:00,65.15833,2.489653527736664,3.4339747,107.11084326484018,58.670937255971694,7.5204163
14,2013-01-01 14:00:00,65.31593,2.469163397947947,3.4128392,103.76084326484019,47.38158402176692,7.2919006
15,2013-01-01 15:00:00,65.58381,2.4564122955004373,3.3774507,104.37084326484019,49.437257297248976,6.903473
16,2013-01-01 16:00:00,65.69275,2.4493848284085593,3.3632557,117.58084326484018,93.95437855809826,6.745514
17,2013-01-01 17:00:00,65.802864,2.4453053871790567,3.349001,125.9408432648402,122.1272123007705,6.585846
18,2013-01-01 18:00:00,65.846306,2.4452125628789267,3.343471,126.82084326484019,125.09277374736756,6.5228577
19,2013-01-01 19:00:00,65.92881,2.4470291137695312,3.3329897,126.76084326484019,124.89057637600868,6.4032288
20,2013-01-01 20:00:00,66.075966,2.454847733179728,3.3143811,126.00084326484019,122.32940967212937,6.18985
21,2013-01-01 21:00:00,66.17362,2.4692518512407937,3.3021586,123.29084326484019,113.19682839908613,6.0482483
22,2013-01-01 22:00:00,66.344185,2.492756267388662,3.281055,124.3508432648402,116.76898195975986,5.800934
23,2013-01-01 23:00:00,66.762085,2.5339177449544272,3.2304347,114.74084326484018,84.38370298044406,5.194977
24,2013-01-02 00:00:00,67.22831,2.5877153674761453,3.175958,113.31084326484019,79.56466562972382,4.5189514
25,2013-01-02 01:00:00,67.63863,2.652823249499003,3.1295805,104.62084326484019,50.279746344577696,3.9239807
26,2013-01-02 02:00:00,67.93295,2.721520026524862,3.0970578,106.15084326484019,55.43577931422942,3.497223
27,2013-01-02 03:00:00,68.06714,2.7867074807484946,3.0825837,101.51084326484019,39.79918259580849,3.3026428
28,2013-01-02 04:00:00,68.024376,2.847912689050039,3.0871665,101.69084326484018,40.40577470988516,3.3646545
29,2013-01-02 05:00:00,67.874695,2.902298152446747,3.1034372,110.18084326484019,69.01670275716832,3.5816956
30,2013-01-02 06:00:00,67.585594,2.947954555352529,3.1354377,120.73084326484019,104.56974055444007,4.000885
31,2013-01-02 07:00:00,67.506966,2.989381194114685,3.1443143,134.08084326484018,149.55865568179343,4.1148987
32,2013-01-02 08:00:00,67.377655,3.023550550142924,3.1589324,140.4208432648402,170.92417792204964,4.3023987
33,2013-01-02 09:00:00,67.11718,3.0483190019925437,3.1888144,141.68084326484018,175.17032272058634,4.680084
34,2013-01-02 10:00:00,66.899475,3.0628954768180847,3.2141454,136.81084326484017,158.758636078623,4.995758
35,2013-01-02 11:00:00,66.68329,3.0608269969622293,3.2398252,134.6308432648402,151.4121315859166,5.3092346
36,2013-01-02 12:00:00,66.75063,3.0482880671819053,3.2318933,130.61084326484018,137.86490770487086,5.2115784
37,2013-01-02 13:00:00,66.66072,3.0226179361343384,3.24262,131.4108432648402,140.56087265632274,5.3419495
38,2013-01-02 14:00:00,66.69659,2.990163425604502,3.2383492,128.55084326484018,130.92279795488227,5.2899475
39,2013-01-02 15:00:00,66.67857,2.9537134369214377,3.240416,132.2008432648402,143.2231380458815,5.3160706
40,2013-01-02 16:00:00,66.69861,2.9189120531082153,3.2380598,139.2608432648402,167.0150287424444,5.287018
41,2013-01-02 17:00:00,66.6257,2.886126081148783,3.246771,146.5308432648402,191.51461023876342,5.3927307
42,2013-01-02 18:00:00,66.79576,2.865392883618673,3.2264748,149.5908432648402,201.8266761780669,5.1461487
43,2013-01-02 19:00:00,66.9121,2.84977779785792,3.2127082,146.80084326484018,192.42449840987845,4.9774475
44,2013-01-02 20:00:00,66.77909,2.8340654571851096,3.2284942,138.5408432648402,164.58866028613772,5.1703186
45,2013-01-02 21:00:00,66.763435,2.824779510498047,3.23028,127.55084326484018,127.55284176556741,5.1930237
46,2013-01-02 22:00:00,66.56795,2.816076914469401,3.2537436,129.6908432648402,134.76454801070122,5.476471
47,2013-01-02 23:00:00,66.76091,2.818114439646403,3.230568,123.9108432648402,115.28620123646131,5.196686
48,2013-01-03 00:00:00,66.84947,2.8207088510195413,3.2200885,114.77084326484018,84.48480166612352,5.068268
